depmap_id,cell_line_display_name,lineage_1,lineage_2,lineage_3,lineage_4,axitinib (GDSC2:1021),obatoclax (GDSC2:1068),gemcitabine (GDSC2:1190),lapatinib (GDSC2:1558),ML323 (GDSC2:1629),GS-9973 (GDSC2:1630),topotecan (GDSC2:1808),teniposide (GDSC2:1809),dactinomycin (GDSC2:1811),Dihydrorotenone (GDSC2:1827),Sabutoclax (GDSC2:1849),buparlisib (GDSC2:1873),dactinomycin (GDSC2:1911),AZD6738 (GDSC2:1917),cediranib (GDSC2:1922),I-BRD9 (GDSC2:1928),MIRA-1 (GDSC2:1931),P22077 (GDSC2:1933),savolitinib (GDSC2:1936),YM-155 (GDSC2:1941),foretinib (GDSC2:2040),BIBR-1532 (GDSC2:2043),uprosertib (GDSC2:2106),AZ6102 (GDSC2:2109),AZD6482 (GDSC2:2169),JQ1-(+) (GDSC2:2172)
ACH-000019,MCF7,Breast,Breast Carcinoma,ERpos HER2neg,Luminal,,,,3.08568163,,,,,,-3.997142966,-0.307571952,2.038346738,-3.90025253,,,,,,,,2.263340131,,,,,
ACH-000111,HCC1187,Breast,Breast Ductal Carcinoma,ERneg HER2neg,Basal A,,2.066763325,,,,,,,,-3.42949344,-3.124553091,,-5.50753618,,,,,,,-3.255127999,-0.02432002,,,,,
ACH-000117,EFM192A,Breast,Breast Adenocarcinoma,ERpos HER2pos,HER2 Amp,,,,,,,,,,,,1.252892853,-4.956413671,,,,,,,-4.926132997,,,,,,
ACH-000147,T47D,Breast,Breast Ductal Carcinoma,ERpos HER2neg,Luminal,,,,,,,,,,,-2.319550086,1.075331094,-6.816604281,,2.974216931,,,,,-3.834740189,,,,,,
ACH-000148,HS578T,Breast,Breast Carcinoma,ERneg HER2neg,Basal B,,1.521971119,,2.350488854,,,,0.14864193,,,-1.638328496,0.18144527,-5.125604919,,1.880683009,,,,,-0.952974126,1.232313794,,,2.443283215,,0.090720773
ACH-000196,HCC1599,Breast,Breast Ductal Carcinoma,ERneg HER2neg,Basal A,,,-5.131918481,,,,,,,,,,,,,,,,,,2.610870476,,,,,
ACH-000212,CAL120,Breast,Breast Carcinoma,ERneg HER2neg,Basal B,,1.885452839,,,,,1.405383111,1.466916098,,,0.802425122,1.581124393,-6.733054474,,3.231741555,,,,,,1.194149855,,,,,
ACH-000223,HCC1937,Breast,Breast Ductal Carcinoma,ERneg HER2neg,Basal A,,,,,,,,,,,,,,,3.234757526,,,,,-4.736150695,2.108557857,,,,,
ACH-000248,AU565,Breast,Breast Adenocarcinoma,ERneg HER2pos,HER2 Amp,,2.4159452,-4.604456102,,,,-2.290318514,-0.621064215,,,,2.699555226,-5.021202856,,3.207562216,,,,,-4.217260668,2.682218351,,,3.000448502,,
ACH-000258,DU4475,Breast,Breast Carcinoma,ERneg HER2neg,Luminal HER2 Amp,,-0.052494678,-3.974312759,,,,-2.914616384,-4.025025476,-6.669786408,,-3.367886041,0.857736453,,1.47740603,1.977194242,,,,,-3.620850167,0.175494152,,2.847642956,1.820510889,,1.047962165
ACH-000276,HCC38,Breast,Breast Ductal Carcinoma,ERneg HER2neg,Basal A,,,-4.796191995,3.138620919,,,1.21519987,,,,0.541548249,,-6.503790023,,,,,,,-5.256929609,2.933433904,,,,,
ACH-000277,HCC1419,Breast,Breast Ductal Carcinoma,ERpos HER2pos,HER2 Amp,,,,,,,,,,,-0.733831213,,,,,,,,,-0.923427954,,,,,,
ACH-000288,BT549,Breast,Breast Ductal Carcinoma,ERneg HER2neg,Basal B,,,,,,,,,,,1.73746208,,-5.118570058,,2.830796721,,,,,-2.781316435,3.071930649,,,,,
ACH-000330,EFM19,Breast,Breast Ductal Carcinoma,ERpos HER2neg,Luminal,,2.590629787,,,,,,,,,,,-4.103981459,,,,,,,-5.966233748,2.921528152,,,,,
ACH-000349,HCC1500,Breast,Breast Ductal Carcinoma,ERpos HER2neg,Luminal,,2.176084706,,,,,0.436510588,,,,-1.316871391,,-6.27971105,,2.421998127,,,,,-0.82915485,,,,2.833473338,,
ACH-000352,HCC1428,Breast,Breast Carcinoma,ERpos HER2neg,Luminal,,1.952119719,,3.218659963,,,,,,,-1.235670331,,,,3.291687736,,,,,-5.861735978,3.04614131,,,,,
ACH-000374,HCC1143,Breast,Breast Ductal Carcinoma,ERneg HER2neg,Basal A,,,,3.031564626,,,,,,,,1.711024611,-6.37818152,1.555872908,,,,,,-2.618590133,2.110452621,,,,,
ACH-000536,BT20,Breast,Breast Ductal Carcinoma,ERneg HER2neg,Basal A,,3.203730814,,,,,,,,-3.320304152,1.492644333,0.376631828,-5.720396029,,,,,,,-5.785866702,,,,,,
ACH-000554,UACC893,Breast,Breast Ductal Carcinoma,ERneg HER2pos,HER2 Amp,,,,-0.444464591,,,,,,,,,,,,,,,,,3.222132399,,,,1.451105686,
ACH-000568,UACC812,Breast,Breast Ductal Carcinoma,ERpos HER2pos,Luminal,,,,,,,,,,,,,-4.721473944,,2.849992162,,,,,-5.862793853,3.037977907,,,3.315740921,,
ACH-000573,MDAMB436,Breast,Breast Carcinoma,ERneg HER2neg,Basal B,,,,,,,,,,,1.284522205,,,,,,,,,,,,,,,
ACH-000621,MDAMB157,Breast,Breast Ductal Carcinoma,ERneg HER2neg,Basal B,,0.573138708,-1.530506,,4.307074607,,0.45102213,-0.389213045,,-4.187304411,-1.662386834,2.466324455,-6.657025677,0.049377791,,,,,,-4.561351463,2.21177336,,,,,
ACH-000624,HCC1806,Breast,Breast Ductal Carcinoma,ERneg HER2neg,Basal A,,1.66004943,,,,,-0.27465785,,,,0.151528335,0.578404847,-7.01827602,-0.168925735,2.560070849,,,3.048036868,,-4.80326732,2.048678619,,,2.575586072,,
ACH-000643,HDQP1,Breast,Breast Ductal Carcinoma,ERneg HER2neg,Basal A,,,,,,,,0.978838682,,,2.023270994,0.280073467,-7.451793627,,2.87316663,,,2.002902889,,-4.415259185,1.590129718,,,2.481432628,,
ACH-000668,HCC70,Breast,Breast Ductal Carcinoma,ERneg HER2neg,Basal A,,,,,,,,,,,,1.682067466,-6.345857487,2.698538658,,,,,,-1.754678159,,,1.091155077,,,
ACH-000691,HCC2157,Breast,Breast Ductal Carcinoma,ERneg HER2neg,Basal A,,1.982971305,,,,,-0.92997293,,,,1.637582453,0.746252301,-7.409770538,,3.217602442,,,3.25176654,,,3.160513023,,,,,
ACH-000699,HCC1395,Breast,Breast Ductal Carcinoma,ERneg HER2neg,Basal B,,,,2.997296189,,,,,,,,1.493090014,-5.445821422,,2.133006609,,,,,-3.495499633,1.078111589,,,,,
ACH-000711,JIMT1,Breast,Breast Ductal Carcinoma,ERneg HER2pos,Basal A,,2.63774134,,2.842389651,,,,,,,,0.591305333,-6.508286265,,,,,,,-4.219211537,2.439615822,,,,,
ACH-000725,HCC202,Breast,Breast Ductal Carcinoma,ERneg HER2pos,HER2 Amp,,,,,,,,,,,,,,,,,,,,,,,,,,
ACH-000755,HCC2218,Breast,Breast Ductal Carcinoma,ERneg HER2pos,HER2 Amp,,,,-0.184222557,,,,,,,,,,,,,,,,,,,,,,
